"id,""timestamp"",""device_id"",""device_name"",""current"",""voltage"",""power"",""channel"""
"331,""2026-06-09T11:51:39.895192"",""esp32-01"",""esp32-01"",""0.326"",""230"",""75"","""""
"330,""2026-06-09T11:51:34.673807"",""esp32-01"",""esp32-01"",""0.328"",""230"",""75.4"","""""
"329,""2026-06-09T11:51:29.457070"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.5"","""""
"328,""2026-06-09T11:51:24.331184"",""esp32-01"",""esp32-01"",""0.316"",""230"",""72.7"","""""
"327,""2026-06-09T11:51:19.007129"",""esp32-01"",""esp32-01"",""1.143"",""230"",""263"","""""
"326,""2026-06-09T11:51:13.683626"",""esp32-01"",""esp32-01"",""0.312"",""230"",""71.8"","""""
"325,""2026-06-09T11:51:09.215103"",""esp32-01"",""esp32-01"",""0.313"",""230"",""72.1"","""""
"324,""2026-06-09T11:51:03.201527"",""esp32-01"",""esp32-01"",""0.31"",""230"",""71.4"","""""
"323,""2026-06-09T11:50:58.014596"",""esp32-01"",""esp32-01"",""0.314"",""230"",""72.3"","""""
"322,""2026-06-09T11:50:52.791157"",""esp32-01"",""esp32-01"",""0.318"",""230"",""73"","""""
"321,""2026-06-09T11:50:47.571013"",""esp32-01"",""esp32-01"",""0.315"",""230"",""72.5"","""""
"320,""2026-06-09T11:50:42.347180"",""esp32-01"",""esp32-01"",""0.313"",""230"",""71.9"","""""
"319,""2026-06-09T11:50:37.049998"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.5"","""""
"318,""2026-06-09T11:50:31.902622"",""esp32-01"",""esp32-01"",""0.312"",""230"",""71.7"","""""
"317,""2026-06-09T11:50:26.784252"",""esp32-01"",""esp32-01"",""0.319"",""230"",""73.4"","""""
"316,""2026-06-09T11:50:21.560251"",""esp32-01"",""esp32-01"",""0.31"",""230"",""71.4"","""""
"315,""2026-06-09T11:50:16.440898"",""esp32-01"",""esp32-01"",""0.316"",""230"",""72.6"","""""
"314,""2026-06-09T11:50:10.934160"",""esp32-01"",""esp32-01"",""0.312"",""230"",""71.7"","""""
"313,""2026-06-09T11:50:05.790824"",""esp32-01"",""esp32-01"",""0.315"",""230"",""72.5"","""""
"312,""2026-06-09T11:50:00.568256"",""esp32-01"",""esp32-01"",""0.317"",""230"",""73"","""""
"311,""2026-06-09T11:49:55.268723"",""esp32-01"",""esp32-01"",""0.312"",""230"",""71.9"","""""
"310,""2026-06-09T11:49:50.029802"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.5"","""""
"309,""2026-06-09T11:49:44.799282"",""esp32-01"",""esp32-01"",""0.309"",""230"",""71"","""""
"308,""2026-06-09T11:49:39.557818"",""esp32-01"",""esp32-01"",""0.316"",""230"",""72.6"","""""
"307,""2026-06-09T11:49:34.354662"",""esp32-01"",""esp32-01"",""0.312"",""230"",""71.7"","""""
"306,""2026-06-09T11:49:29.234300"",""esp32-01"",""esp32-01"",""0.31"",""230"",""71.4"","""""
"305,""2026-06-09T11:49:23.909210"",""esp32-01"",""esp32-01"",""0.314"",""230"",""72.3"","""""
"304,""2026-06-09T11:49:18.664917"",""esp32-01"",""esp32-01"",""0.324"",""230"",""74.5"","""""
"303,""2026-06-09T11:49:13.260300"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.6"","""""
"302,""2026-06-09T11:49:08.023370"",""esp32-01"",""esp32-01"",""0.314"",""230"",""72.1"","""""
"301,""2026-06-09T11:49:02.814738"",""esp32-01"",""esp32-01"",""0.325"",""230"",""74.8"","""""
"300,""2026-06-09T11:48:57.592900"",""esp32-01"",""esp32-01"",""0.313"",""230"",""72"","""""
"299,""2026-06-09T11:48:52.356950"",""esp32-01"",""esp32-01"",""0.322"",""230"",""74"","""""
"298,""2026-06-09T11:48:47.135503"",""esp32-01"",""esp32-01"",""0.312"",""230"",""71.6"","""""
"297,""2026-06-09T11:48:41.928409"",""esp32-01"",""esp32-01"",""0.315"",""230"",""72.4"","""""
"296,""2026-06-09T11:48:36.806632"",""esp32-01"",""esp32-01"",""0.31"",""230"",""71.2"","""""
"295,""2026-06-09T11:48:31.583769"",""esp32-01"",""esp32-01"",""0.314"",""230"",""72.1"","""""
"294,""2026-06-09T11:48:26.359564"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.5"","""""
"293,""2026-06-09T11:48:21.137450"",""esp32-01"",""esp32-01"",""0.309"",""230"",""71.1"","""""
"292,""2026-06-09T11:48:15.814294"",""esp32-01"",""esp32-01"",""0.311"",""230"",""71.5"","""""
"291,""2026-06-09T11:48:10.593205"",""esp32-01"",""esp32-01"",""0.313"",""230"",""72"","""""
"290,""2026-06-09T11:48:05.369839"",""esp32-01"",""esp32-01"",""0.309"",""230"",""71.2"","""""
"289,""2026-06-09T11:48:00.146094"",""esp32-01"",""esp32-01"",""0.318"",""230"",""73.2"","""""
"288,""2026-06-09T11:47:55.435783"",""esp32-01"",""esp32-01"",""0.307"",""230"",""70.6"","""""
"287,""2026-06-09T11:47:49.722765"",""esp32-01"",""esp32-01"",""0.308"",""230"",""70.8"","""""
"286,""2026-06-09T11:47:44.479852"",""esp32-01"",""esp32-01"",""0.319"",""230"",""73.4"","""""
"285,""2026-06-09T11:47:39.154450"",""esp32-01"",""esp32-01"",""0.309"",""230"",""71.1"","""""
